offset,80,66,52,37,23,9,79,65,51,36,22,8,78,64,50,39,25,11,81,67,53,40,26,12,82,68,54,41,27,13,83,69,55,28,14,0,70,56,42,29,15,1,71,57,43,30,16,2,72,58,44,35,21,7,77,63,49,34,20,6,76,62,48,33,19,5,75,61,47,32,18,4,74,60,46,31,3,10,17,24,38,45,59,73
note,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,,,,,,,,
note_zero,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,,,,,,,,
